Identifiant;Joueurs;Argent;Pari;Victoire;Defaite;Gains;Moderateur
2091177;126;199,48;1,06;1,5299997;166,9;34,109993;0
2091178;123;288,94;1,39;30,140007;107,32001;211,76003;0
2091179;143;336,62;1,53;56,26001;71,270004;321,61005;0
2091180;142;308,56;1,38;22,700006;166,56998;164,69003;0
2091181;155;345,73;2,3;108,86002;30,7;423,8899;0
2091182;133;234,89;1,92;56,40998;27,150002;264,15002;0
2091183;145;292,85;1,79;48,399986;47,030003;294,21994;0
2091184;133;257,41;1,12;3,68;202,90999;58,179993;0
2091185;136;257,42;4,5;102,75998;2,1100001;358,06976;0
2091186;137;325,3;1,34;36,34998;112,88;248,76999;0
2091187;138;286,08;1,14;6,500001;209,75;82,83;0
2091188;151;341,01;1,23;19,669994;186,65001;174,03001;0
2091189;158;309,45;5,4;159,75002;5;464,19986;0
2091190;139;295,75;17,3;169,50992;0;465,26;0
2091191;157;334,24;3,85;139,79002;15,89;458,14005;0
2091192;146;280,12;1,32;22,990002;111,93001;191,18004;0
2091193;128;228,53;9,87;104,64;0,25;332,92004;0
2091194;139;242,32;2,28;96,11;34,02;304,4099;0
2091195;115;251,9;1,44;31,420006;77,06;206,26;0
2091196;110;234,13;6,27;131,16;0,53999996;364,75012;0
2091197;122;271,05;1,74;40,770008;71,18001;240,64;0
2091198;122;288,58;21,09;149,24007;0;437,82004;0
2091199;120;253,64;2,57;76,17003;20,75;309,06003;0
2091200;119;285,39;4,07;97,63;1,96;381,06;0
2091201;116;258,91;2,05;61,71999;27,149998;293,47995;0
2091202;120;277,76;16,27;194,60002;0;472,36005;0
2091203;125;260,44;2,32;79,409996;13,36;326,48984;0
2091204;116;248,82;1,82;52,130016;67,020004;233,93;0
2091205;119;215,32;1,7;28,659998;52,389996;191,58997;0
2091206;116;206,2;11,1;97,06001;0;303,2599;0
2091207;137;266,37;1,65;44,19001;95,290016;215,27;0
2091208;123;238,02;1,26;19,330006;93,08;164,27002;0
2091209;122;256,68;1,16;9,6500025;144,21997;122,11;0
2091210;137;310,81;1,29;23,549997;140,11998;194,24002;0
2091211;143;293,26;4,71;99,23;2,57;389,91995;0
2091212;150;385,58;1,35;46,709995;120,86002;311,42996;0
2091213;153;298,16;3,17;97,38004;8,84;386,69983;0
2091214;140;241;1,21;12,930003;122,46002;131,46999;0
2091215;132;285,37;3,96;98,61998;1,12;382,87012;0
2091216;141;289,2;3;104,450005;6,9500003;386,70004;0
2091217;141;299;1,28;30,199999;95,69999;233,49995;0
2091218;136;270,23;1,74;44,73;46,670002;268,29004;0
2091219;140;284,03;1,11;5,900003;194,25002;95,68;0
2091220;131;327,68;3,26;107,25999;5,86;429,07996;0
2091221;146;554,9;1;0;554,9;0;0
2091222;163;392,77;1,09;2,039999;350,78986;44,019997;0
2091223;187;566,48;1,27;62,229984;198,46004;430,24994;0
2091224;150;387,63;2,48;129,01003;36,899998;479,73984;0
2091225;185;417,89;1,61;96,87999;54,559998;460,2102;0
2091226;157;314,97;1,57;58,230026;63,149994;310,04984;0
2091227;157;287,77;4,01;103,98;10,7;381,04987;0
2091228;152;264,92;1,41;29,069996;83,3;210,69005;0
2091229;143;299,26;18,49;118,39998;0,28;417,37994;0
2091230;148;271,15;3,84;118,81003;5,06;384,89993;0
2091231;142;270,9;4,12;119,34001;0,52;389,71988;0
2091232;137;253,71;2,13;64,43;29,55;288,59003;0
2091233;134;278,43;2,65;103,72003;11,04;371,1099;0
2091234;133;306,86;1,08;2,3199992;251,41992;57,760002;0
2091235;126;276,46;1,15;3,0999994;225,94998;53,61;0
2091236;191;483,75;1,69;100,17999;48,979996;534,95;0
2091237;160;304,16;1,08;2,4400003;244,22993;62,369995;0
2091238;153;587,88;2,46;170,62003;13,120001;745,3801;0
2091239;158;367,03;1,23;33,32999;162,63997;237,72;0
2091240;182;1292,71;1,45;103,01003;117,190025;1278,5309;0
2091241;159;330,26;1,61;51,300003;64,27999;317,2801;0
2091242;160;320,01;1,77;72,85;33,69;359,17007;0
2091243;165;343,3;2,95;98,609985;9,91;432,00003;0
2091244;152;256,01;1,18;8,630001;165,11;99,53003;0
2091245;157;314,48;3,25;117,25;6,52;425,21005;0
2091246;125;237,15;5,53;94,979996;0;332,12994;0
2091247;163;293,65;1,74;59,199993;39,719994;313,12994;0
2091248;143;272,08;1,46;38,29;55,920006;254,44998;0
2091249;141;293,27;1,05;0,36000073;281,10004;12,530001;0
2091250;136;231,13;1,2;13,879998;118,400024;126,61001;0
2091251;151;392,97;4,56;112,77994;5,3599997;500,3899;0
2091252;149;286,72;1,43;34,700016;87,34998;234,06998;0
2091253;151;297,56;2,3;81,960014;13,99;365,5299;0
2091254;143;300,43;1,42;34,519978;96,069984;238,88;0
2091255;138;224,79;2,3;72,750015;2,1000001;295,43997;0
2091256;143;299,38;1,45;42,929993;71,04;271,27;0
2091257;137;274,11;1,04;0,4699999;256,08;18,500002;0
2091258;140;334,28;4,46;145,53996;0,75;479,06985;0
2091259;149;317,24;1,68;57,63998;44,920006;329,9601;0
2091260;128;257,4;17,2;117,820045;0,25;374,97006;0
2091261;132;268,04;37,74;112,99001;0;381,03012;0
2091262;137;295,44;2,99;123,22;7,2699995;411,39014;0
2091263;131;215,21;1,23;10,730003;110,32;115,62002;0
2091264;116;226,1;1,68;36,599983;34,02999;228,67001;0
2091265;142;238,07;1,2;12,380002;134,40004;116,05001;0
2091266;133;249,11;1,27;20,690006;101,60998;168,18999;0
2091267;139;1210,26;2,02;124,70997;12,51;1322,4601;0
2091268;129;229,74;6,08;96,65997;0,5;325,90002;0
2091269;132;263,88;5,77;152,87993;0,5;416,25998;0
2091270;134;231,19;1,29;17,829998;103,81999;145,19998;0
2091271;133;265,73;2,63;89,35;1,86;353,22;0
2091272;130;270,56;2,71;101,120026;6,0899997;365,59006;0
2091273;135;294,45;1,22;19,359995;143,29;170,52007;0
2091274;124;270,7;1,09;2,1000004;221,68005;51,12;0
2091275;128;246,44;1;0;246,44003;0;0
2091276;184;601,85;5,12;204,38004;5,27;800,9602;0
2091277;151;338,34;4,37;110,30998;4,55;444,0999;0
2091278;152;319,23;1,78;62,92;67,25;314,90002;0
2091279;148;1326,1;2,3;129,59991;35,83;1419,8705;0
2091280;138;288,32;1,48;41,759995;85,950005;244,13;0
2091281;138;294,32;1,04;0,76999974;266,47992;28,610004;0
2091282;144;373,9;1,71;77,719986;61,110004;390,50995;0
2091283;145;306,33;1,5;38,95001;79,97001;265,31;0
2091284;143;224,81;1,16;5,0500007;164,26;65,59998;0
2091285;146;263,97;1,26;19,390007;123,42999;159,92995;0
2091286;154;390,78;4,05;155,81992;2,75;543,84985;0
2091287;145;284,85;2,95;96,53996;15,16;366,23;0
2091288;145;297,11;1,07;1,2199996;273,78998;24,540003;0
2091289;139;280,12;15,37;119,23003;0,75;398,60013;0
2091290;151;319,34;2,61;114,73999;34,14;399,93994;0
2091291;150;328,62;6,57;138,18997;0,5;466,31;0
2091292;138;331,67;1,06;1,8999999;288,79996;44,77;0
2091293;129;280,02;8,04;126,700005;0,75;405,96997;0
2091294;146;338,54;3,16;109,91999;3,38;445,08002;0
2091295;143;373,81;4,23;143,55005;3,97;513,38995;0
2091296;143;309,33;1,35;41,689983;74,479996;276,53995;0
2091297;124;265,49;1,09;2,97;212,28004;56,179993;0
2091298;136;322,32;10,74;94,87998;0,75;416,45;0
2091299;152;349,24;1,47;43,23;113,189995;279,28;0
2091300;149;325,79;8,67;167,59003;2,85;490,53;0
2091301;135;270,76;9,89;104,09999;0,5;374,3599;0
2091302;130;275,92;2,2;78,39001;39,72;314,58997;0
2091303;126;238,99;1,38;28,500006;68,490005;198,99997;0
2091304;129;242,41;1;0;242,40996;0;0
2091305;120;217,97;2,85;56,290012;20,210001;254,05008;0
2091306;136;287,53;1;0;287,52994;0;0
2091307;156;345,85;1,42;38,24001;130,71999;253,37003;0
2091308;170;366,68;2,87;129,47003;10,1;486,05005;0
2091309;149;297,6;1,36;26,899998;136,07;188,43001;0
2091310;155;359,38;1,4;35,520004;140,53998;254,36;0
2091311;136;287,01;6,45;129,79;1,25;415,55005;0
2091312;167;292,67;2,98;106,409996;13,34;385,73987;0
2091313;137;269,3;1,23;15,900003;107,17999;178,01999;0
2091314;134;274,49;1,94;58,159996;33,579994;299,0701;0
2091315;127;216,93;1,02;0,31000042;196,37;20,87;0
2091316;143;295,23;8,14;102,01001;0,75;396,49;0
2091317;139;254,1;3,24;84,34002;5,14;333,29984;0
2091318;135;237,27;2,89;84,560005;4,6;317,23004;0
2091319;138;293,34;1,36;34,54001;90,93999;236,94003;0
2091320;129;247,94;1,72;34,339993;57,530003;224,75005;0
2091321;138;265,07;1,02;0,029999971;264,23004;0,87;0
2091322;130;229,97;1,05;0,60000026;212,50998;18,060001;0
2091323;205;603,45;2,61;174,48007;21,579998;756,3497;0
2091324;169;371,28;3,1;112,22001;5,62;477,8798;0
2091325;156;352,65;8,58;130,06003;0,5;482,21008;0
2091326;148;302,13;42,89;161,62997;0,5;463,2599;0
2091327;129;315,92;10,1;224,06003;2,45;537,52997;0
2091328;137;266,5;1,65;40,859997;62,810005;244,55003;0
2091329;122;215,84;2,45;48,27;19,49;244,61995;0
2091330;123;272,53;1,17;8,200002;166,11998;114,60998;0
2091331;122;229,54;5,66;73,21;1,5;301,24994;0
2091332;128;320,99;2,23;110,229965;14,33;416,8899;0
2091333;140;478,78;1,82;87,430016;87,63001;478,57983;0
2091334;124;351,17;1,94;60,899998;22,609999;389,45987;0
2091335;114;330,46;1;0;330,4598;0;0
2091336;135;250;3,09;84,850044;14,68;320,16995;0
2091337;136;278,51;1,32;26,490002;94,22001;210,78001;0
2091338;137;361,36;2,3;89,36004;41,140007;409,5799;0
2091339;147;310,28;17,01;112,31;0,75;421,8398;0
2091340;140;289,8;1;0;289,8;0;0
2091341;132;460,81;1,48;33;290,02002;203,79007;0
2091342;153;427;2,51;98,28002;25,09;500,18997;0
2091343;142;364,47;1,25;37,48999;125,21001;276,74997;0
2091344;128;261,5;3,7;92,90999;5,21;349,19992;0
2091345;139;312,9;1,21;20,099995;162,01001;170,99004;0
2091346;136;319,79;1,01;0;319,78995;0;0
2091347;141;527,43;1,98;59,349995;243,93999;342,84006;0
2091348;149;358,74;1,13;5,7900004;251,80997;112,72;0
2091349;137;302,26;1,27;23,359997;135,32999;190,28996;0
2091350;134;247,61;3,51;113,429985;4,35;356,6899;0
2091351;163;369,59;3,15;138,04007;12,18;495,44968;0
2091352;146;322,96;1,11;5,610002;241,55;87,02;0
2091353;152;307,78;1,19;9,059999;186,23996;130,6;0
2091354;201;1107,34;2,5;501,85995;24,429998;1584,7704;0
2091355;164;340,65;34,67;160,15;0,5;500,3;0
2091356;150;347,03;1;0;347,0299;0;0
2091357;145;470,55;1,28;46,219994;182,31995;334,45;0
2091358;177;869,77;1,65;143,93004;61,86999;951,8294;0
2091359;167;756,64;1,63;148,68996;39,519997;865,81;0
2091360;146;330,62;5,59;165,25002;3,69;492,18;0
2091361;144;275,56;1;0;275,56003;0;0
2091362;141;353,92;1,67;57,609997;110,880005;300,65;0
2091363;146;329,95;6,67;133,92998;0,5;463,37997;0
2091364;155;379,13;6,44;125,06;4,83;499,35992;0
2091365;148;280,71;3,44;116,55994;3,57;393,69995;0
2091366;134;266,08;3,95;129,28006;2,65;392,70996;0
2091367;127;241,6;1,37;22,590006;97,98998;166,20001;0
2091368;113;244,62;114,12;164,76001;0;409,37988;0
2091369;292;363,01;33,32;308,42993;0,25;671,19025;0
2091370;234;331,42;7,9;253,64001;10,72;574,34;0
2091371;209;362,56;1,22;20,390003;205,64998;177,30002;0
2091372;163;254,87;4,34;134,95999;4,38;385,44992;0
2091373;180;235,5;108;176,23001;0;411,7298;0
2091374;219;329,23;1,9;49,399994;137,43;241,19994;0
2091375;167;273,65;6,11;123,38002;5,82;391,2099;0
2091376;184;341,2;6,72;197,77008;3,78;535,18994;0
2091377;187;338,64;8,23;197,77003;1,55;534,8601;0
2091378;177;304,37;1,5;32,239994;114,139984;222,47;0
2091379;165;254,28;117,56;186,99004;0;441,2699;0
2091380;191;340,88;1,25;19,970003;188,32999;172,51999;0
2091381;182;305,58;2,03;81,070045;88,01999;298,63007;0
2091382;161;285,93;4,38;98,049995;32,14;351,83994;0
2091383;194;310,15;39,46;250,93002;0,25;560,8299;0
2091384;185;322,02;11,5;192,33005;15,490001;498,86;0
2091385;193;300;1,13;3,3099997;236,27003;67,03999;0
2091386;150;316,12;2,47;92,03999;41,659996;366,4999;0
2091387;193;360,95;202,98;421,18005;0;782,12994;0
2091388;222;392,14;1,33;33,09;174,25998;250,97002;0
2091389;219;577,75;1;0;577,7498;0;0
2091390;180;341,56;1,54;67,55002;105,22999;303,8798;0
2091391;217;429,73;2,24;122,51997;52,68;499,5699;0
2091392;222;286,28;3,26;91,47997;26,020002;351,73993;0
2091393;212;445,31;7,95;213,89001;2,5;656,6999;0
2091394;182;364,14;2,06;73,17003;95,94999;341,36002;0
2091395;172;298,58;2,01;71,6;65,14;305,03992;0
2091396;190;402,29;4,24;151,40004;16,369999;537,32007;0
2091397;185;315,04;2,09;81,56001;54,510006;342,09006;0
2091398;176;318,84;4,73;208,43996;4,04;523,2401;0
2091399;189;477,23;2,85;223,17996;30,45;669,96027;0
2091400;223;408,11;4,56;255,41002;3,56;659,9604;0
2091401;229;371,57;1,86;67,11998;95,009995;343,67996;0
2091402;194;359,11;1,89;57,610004;143,15999;273,55978;0
2091403;192;427,24;1,76;85,22002;50,150005;462,31006;0
2091404;192;336,39;1,11;5,850001;262,41006;79,83;0
2091405;167;266,22;1,14;5,250003;202,15;69,31998;0
2091406;252;578,45;1,05;0,4299998;564,45984;14,42;0
2091407;225;816,74;1,58;192,51999;73,54;935,71985;0
2091408;270;675,39;1,43;102,87999;156,96999;621,30023;0
2091409;250;503,37;2,31;141,64014;18,909998;626,10004;0
2091410;314;580,27;1,13;4,670002;515,8698;69,07;0
2091411;232;646,58;2,52;166,29005;16,02;796,85034;0
2091412;225;581,01;1,41;88,93003;92,02999;577,9099;0
2091413;221;608,45;2,35;144,64014;66,11001;686,9803;0
2091414;209;472,04;3,45;186,04005;7,93;650,1499;0
2091415;219;381,53;4,02;162,62996;3,08;541,07996;0
2091416;207;431,76;36,18;186,80992;0;618,5699;0
2091417;212;351,96;1,03;0,31000003;338,0299;14,240001;0
2091418;169;346,36;1,33;28,349997;136,46;238,25;0
2091419;189;464,71;2,21;114,82998;23,330002;556,21;0
2091420;220;366,68;7,84;230,58;0,25;597,0101;0
2091421;201;357,7;1,57;62,580006;116,960014;303,32004;0
2091422;170;296,39;1;0;296,38992;0;0
2091423;170;378,67;1,27;34,179996;112,8;300,04996;0
2091424;180;374,15;3,06;113,36994;2,13;485,39;0
2091425;186;320,67;1,77;64,44003;55,750004;329,36005;0
2091426;168;310,05;2,98;119,15004;7,7200007;421,4799;0
2091427;165;311,67;1;0;311,66983;0;0
2091428;146;308,35;1,29;26,189999;129,76001;204,78;0
2091429;184;370,23;1,17;13,5999975;213,81995;170,00993;0
2091430;163;420,16;1,07;0,5499999;407,00986;13,700001;0
2091431;203;827,88;11,08;278,4099;0,75;1105,54;0
2091432;186;405,65;1,62;76,059944;73,46999;408,23984;0
2091433;196;591,6;2,06;171,44002;20,77;742,2703;0
2091434;163;339,69;25,15;137,22995;1;475,91992;0
2091435;172;414,87;1,97;101,670006;37,89;478,64993;0
2091436;165;375,02;2,75;160,64996;2;533,67004;0
2091437;162;450,42;5,21;211,80998;1,4200001;660,8103;0
2091438;155;486,46;10,75;180,08997;1,25;665,3001;0
2091439;159;480,92;10,12;227,15993;20,18;687,9;0
2091440;157;358,47;1,81;57,419994;118,450005;297,4399;0
2091441;137;412,93;1,39;33,689995;67,130005;379,48984;0
2091442;142;283,99;1,04;0,58000016;264,43997;20,13;0
2091443;127;238,34;2,14;81,28997;7,8900003;311,73996;0
2091444;156;263,77;1;0;263,77005;0;0
2091445;173;400,03;2,12;137,67001;2,96;534,7398;0
2091446;149;350,41;2,98;117,43999;11,28;456,57007;0
2091447;189;586,77;3,71;152,72;13,3;726,1898;0
2091448;175;526,1;8,83;210,08008;0;736,1801;0
2091449;162;525,09;69,76;264,3599;0;789,45013;0
2091450;151;275,56;1,14;6,840001;197,04993;85,35;0
2091451;135;475,9;10,12;150,00003;0,55;625,34985;0
2091452;148;349,4;1,36;31,159996;146,11996;234,4399;0
2091453;154;478,31;1,56;55,269993;71,600006;461,97992;0
2091454;158;446,84;2,02;81,9;20,5;508,24008;0
2091455;164;582,69;1,27;30,910007;183,41002;430,18994;0
2091456;142;330,08;1,14;5,5500016;249,44997;86,18001;0
2091457;140;295,88;8,03;142,26;1;437,13998;0
2091458;166;606,69;1;0;606,6899;0;0
2091459;159;403,56;93,38;213,68996;0;617,2499;0
2091460;163;512,53;7,55;196,81998;17,73;691,62006;0
2091461;162;319,45;1,71;54,51;98,02001;275,93997;0
2091462;154;267,48;4,05;97,81002;1,37;363,9199;0
2091463;154;282,95;1,42;44,529995;74,98;252,4999;0
2091464;160;355,4;2,8;109,03997;25,83;438,60995;0
2091465;150;490,54;3,5;133,26997;5,46;618,3502;0
2091466;154;328,65;5,43;112,19;0;440,8401;0
2091467;138;272,28;1,02;0,16000032;264,1599;8,280001;0
2091468;138;228,23;3,35;99,01001;7,48;319,76004;0
2091469;160;353,32;1,51;52,59;90,79999;315,10995;0
2091470;150;285,05;1,36;21,550001;131,04001;175,56003;0
2091471;154;286,65;4,33;120,66;5,98;401,32996;0
2091472;161;404,15;8,37;209,27998;2,3;611,1301;0
2091473;146;278,29;1,1;2,0000002;241,56001;38,729996;0
2091474;138;322,86;1,72;60,000004;72,130005;310,72995;0
2091475;148;343,36;1,02;0,13;337,04;6,45;0
2091476;159;442,67;1,73;82,52998;100,00002;425,20004;0
2091477;149;334,74;1,19;13,479999;226,34;121,879974;0
2091478;160;452,46;5,26;251,54994;0,5;703,51044;0
2091479;175;751,71;7,1;274,63992;12,25;1014,10046;0
2091480;190;461,1;2,62;168,52003;29,329998;600,29034;0
2091481;178;452,9;2,16;164,45992;20,029999;597,32996;0
2091482;155;373,65;1,88;64,76001;105,59;332,81995;0
2091483;149;360,92;3781,36;154,99998;0;515,9201;0
2091484;155;336,9;1,91;64,299995;64,54001;336,65994;0
2091485;134;297,95;6,71;119,29002;2,28;414,96005;0
2091486;137;275,78;1,27;19,450003;122,020004;173,21004;0
2091487;129;279,16;1,43;32,989994;92,63001;219,52003;0
2091488;140;307,57;1,19;7,750001;227,70003;87,61999;0
2091489;136;263,26;3,38;128,79001;9,03;383,02005;0
2091490;145;298,74;1,47;30,369997;106,62;222,48994;0
2091491;154;431,99;1,15;7,709999;338,22;101,48;0
2091492;154;469,05;1,08;1,2999997;437,67;32,680004;0
2091493;184;592,52;1,61;114,530045;79,31;627,7401;0
2091494;167;478,58;4,98;237,17006;1,43;714,3202;0
2091495;181;472,04;1,46;51,15999;201,66;321,53983;0
2091496;167;418,26;1,1;1,8600004;375,99997;44,119995;0
2091497;161;494,29;2,61;136,26003;14,08;616,4702;0
2091498;156;677,23;1,15;9,550004;574,3097;112,47;0
2091499;170;552,97;9,98;205,82005;0,25;758,5399;0
2091500;163;503,26;1,53;88,87997;83,640015;508,49988;0
2091501;155;527,49;1,02;0,20000052;514,29004;13,4;0
2091502;157;471,26;2,13;128,89998;16,56;583,6001;0
2091503;159;442,18;1,33;62,94001;126,39999;378,71985;0
2091504;156;435,86;9,81;134,38005;0,25;569,9902;0
2091505;152;374,14;4,51;133,78996;1,02;506,90994;0
2091506;140;414,07;2,08;116,74997;24,159998;506,65985;0
2091507;126;273,35;2,07;91,56003;11,599999;353,3099;0
2091508;129;354,51;12,9;130,33998;0,25;484,60004;0
2091509;133;308,91;5,03;133,85;1,62;441,1402;0
2091510;133;309;3,47;194,80995;8,760001;495,05;0
2091511;130;287,11;1,12;3,8700001;231,70001;59,279995;0
2091512;123;348,19;1,6;65,37;33,17;380,3899;0
2091513;121;330,3;1,58;64,1;43,66;350,73996;0
2091514;141;413,25;1,23;29,350008;189,15994;253,43999;0
2091515;149;356,61;3,38;106,72001;10,34;452,9899;0
2091516;131;285,69;1,11;3,1600003;232,06003;56,790005;0
2091517;136;272,21;1,22;19,270002;114,28998;177,18999;0
2091518;136;388,99;2,14;103,88997;11,18;481,7001;0
2091519;145;376,28;3,3;113,32998;1,59;488,01996;0
2091520;139;366,22;5,16;151,59009;7,72;510,09015;0
2091521;127;285,11;1,25;26,169998;116,110016;195,16994;0
2091522;126;268,15;1,09;1,7599995;229,86003;40,050003;0
2091523;130;302,43;7,21;112,25999;0;414,68988;0
2091524;139;280,74;1,22;17,180006;143,51;154,41;0
2091525;147;404,41;15,35;145,75003;0;550,1599;0
2091526;150;297,81;3,99;126,81003;8,28;416,3399;0
2091527;129;241,85;4,74;113,90002;2,51;353,24;0
2091528;133;266,88;1,46;32,659996;103,70001;195,84001;0
2091529;126;237,36;6,13;87,45994;0,25;324,56998;0
2091530;124;238,77;21,2;123,45997;0;362,22998;0
2091531;137;258,53;13,24;109,409996;0;367,93994;0
2091532;123;221,29;9,08;118,180016;0,8;338,66998;0
2091533;135;285,35;4,62;109,93;28,55;366,73004;0
2091534;133;244,09;1,07;1,3700001;209,37004;36,089996;0
2091535;111;244,43;1,01;0,01999998;242,40997;2,04;0
2091536;166;553,45;1,49;92,140015;83,37999;562,2101;0
2091537;144;329,3;1,37;41,770008;102,94;268,1299;0
2091538;157;308,25;4,37;124,50001;0;432,7499;0
2091539;138;275,64;1,05;0,4799998;258,93997;17,18;0
2091540;161;393,91;2,19;95,15999;23,6;465,46994;0
2091541;132;277,59;1,46;36,859985;60,99;253,46005;0
2091542;150;344,61;7,48;131,87004;0;476,47995;0
2091543;134;255,11;9,57;123,32002;0,25;378,17996;0
2091544;138;283,69;5,16;197,12;2,48;478,32983;0
2091545;148;281,03;4,8;154,12006;3,3;431,85004;0
2091546;128;267,23;16,46;147,85997;0;415,08994;0
2091547;134;289,99;1,02;0,06000018;286,75992;3,29;0
2091548;114;289,48;9,46;217,89996;2,25;505,12994;0
2091549;134;328,39;1,04;0,47999993;310,71;18,159998;0
2091550;144;308,9;1,06;1,8700001;259,70996;51,06;0
2091551;166;578,33;2,57;141,43997;42,84;676,9298;0
2091552;141;296,18;1,69;59,69;53,24;302,63004;0
2091553;167;624,8;2,2;154,78992;27,26;752,32996;0
2091554;159;343,26;1,37;43,770004;105,549995;281,47995;0
2091555;155;321,7;3,88;100,959984;9,05;413,61002;0
2091556;143;271,39;7,78;123,98998;1,05;394,32974;0
2091557;149;327,89;5,84;194,24994;0,82;521,31995;0
2091558;138;261,45;2,64;87,26999;39,309998;309,4099;0
2091559;130;265,13;2,27;62,66;50,429996;277,35992;0
2091560;124;239,54;2,9;83,53001;32,41;290,65997;0
2091561;128;230,31;3,31;135,65002;10,299999;355,65997;0
2091562;125;262,65;1,16;6,620001;182,24995;87,02;0
2091563;130;307,43;1;0;307,4298;0;0
2091564;184;542,26;1,77;114,03;46,290005;609,99994;0
2091565;143;457,61;1,01;0;457,61008;0;0
2091566;149;425,71;1,89;88,18001;55,620007;458,2697;0
2091567;131;316,86;1,22;30,279999;130,37001;216,77002;0
2091568;172;543,77;1,23;60,66998;175,52997;428,9099;0
